token_type,token_address,receiver,amount,id
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0xbf61B5FeE0f4A04365a6Cc58C4C2D30df1FcC9d9,28.124348,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0x636731db99d22e99d70c4a17C4577db70e85F723,36.472174,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0x0CA2B576C04e5f61c5E3174Fb803A6849f6c7F2a,30.68087,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0xcD4cCaf62071cd0f34550e811973Cd43cF9ff88e,27.967826,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0xb36535D089B62917361e3BC88EDD7228491DF967,30.993913,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0xB1c0272B2aFD778B3185aEC216A6DBcd36D667C2,26.037653,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0x7CCf08A2Ac3605C4C51f721FB865e3F5F96f6811,33.863479,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0xB6744A6D764F7d8Bc5c2cb677882E6b44F98E2bc,41.950435,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0xA5ca6b35881c03EA7c909a1f34dd89F6372bB8e7,34.20287,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0x03382f7e24742eC6804ED12710F261EB5fE0F650,38.037392,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0x9B7b7bfaCC688325B57D57ab57F74F0a84fFC058,29.820261,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0xE3bc1f39b8a80D6E217d57Ec7E581c9B751db381,37.884672,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0x1cF86eb050BB1412cc30C9665dC8561d0C31aE46,38.648803,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0x8615733b6ee8B222f7C3fDb7194C2b9e49814742,31.516657,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0xd9D92043Cd2118da793d2E1F83ADFEEf989e7E5C,538.218403,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0xF8751Cd9e5DF2daa464E2AE4F856763cC4554142,260.869566,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0xF1ed8Db37B7474Fb5bFE01B58Def6001955A2d2A,3391.304348,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0xCD7f6b72049C3b54416f9F26392cB271e74ca3FD,808.695653,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0x61ae94dd817357B59413202Ac60B5997192AAE0F,195.652096,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0x0Ae3d5949202165584A270cbac7A733b0307a766,782.465707,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0xb798081a4FBA31790f13e4d553E39114ba0998CA,338.558078,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0xf61C7b8dEbF1E6F76f02A2e68129E0FFBe6f2Db0,521.724035,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0x2b40FE0496D15dB07CEE4C2d5a6b1BA99c873B88,50486.145012,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0x3D3eb99C278C7A50d8cf5fE7eBF0AD69066Fb7d1,104347.826087,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0xAB961d7C42BBcd454A54b342Bd191a8f090219E6,156727.69351,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0x7565DEdDCB83a14B185eb9520914bB918cDfE983,640.472834,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0xf3E112E0C32e7a30dA87517e98a22103ADE76d01,333.918539,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0xA5F42de0e6B576b932A20C5eBa5c790753040e1b,126.058237,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0xf13bfaf9a4f1410338BE772A30148489bB2D5446,1901.789901,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0x23E69BF1ADA63B7EF0d7F453Fa64c61a257b72F1,1487.261812,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0x22F34f08406073bd27239cBaCF7942Ba0477704A,1012.566005,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0xA6c455be4111410D5deeACDd2803ba2333F6c2B7,138.22503,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0xB94AA31E625AF5e0Ad9C5d13EBdc1Ed9E9882a3D,42.211601,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0xD91A413f30FF29A3853c01c6FFADE658b80Ca41C,637.935303,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0x3d5E99355e3AA8d6C47A4078b4C2a7612D0b0efe,52173.913044,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0x6d0BBe84eBa47434a0004fc65797B87eF1C913b7,495.652174,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0xB92EF582d7dCB8eE3e92337974BeF3381C28236c,365.217392,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0x0Fe6B003c38e1eF8C139c0F95F283b79fbf9bD97,443.533186,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0x34dA45f2DB3554176488E3A109Ad69772B3d77fb,159.395256,
erc20,0x549943e04f40284185054145c6E4e9568C1D3241,0x5a63CCB54A936357839F9D3a8d580E9e1024D5B7,15652.173913,
